Flow Duration,Total Fwd Packets,Total Length of Fwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Bwd Packet Length Max,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Fwd IAT Mean,Bwd IAT Mean,Fwd PSH Flags,SYN Flag Count,RST Flag Count,ACK Flag Count,Avg Fwd Segment Size,Init_Win_bytes_forward,Label
28350,8,4100,1235,55,919,25367.849908845226,98.462269936169,432719.4099134861,7375.989626099873,79714.0927698781,153868.80378441198,1,1,0,2,825.8099540493191,31735,BENIGN
253,8761,33,83,7,21,5639510.0405732645,35459.73337962206,57.807539824019756,18.010465648543803,25.88055528557609,5.323286083866127,0,279,1506,0,25.209480774687425,0,DDoS
31977,13,1137,205,89,797,21269.860590008346,40.28249526509966,399303.709046227,52745.92321081016,438646.415379267,145758.62593397507,0,0,0,0,452.37551881862623,17729,BENIGN
30,8429,96,41,3,25,5569262.183785215,188626.72414515648,16.32722053569197,42.974437175222825,47.88427351325398,9.695685365212798,0,4156,1924,1,17.466796881544184,24,DDoS
342,5543,18,52,4,49,4989052.770049417,197701.10869914843,28.922071499990523,20.55811507233348,95.49824424600276,8.48324351775063,0,3672,842,0,37.56220989691019,18,DDoS
72211,12,4857,1098,86,701,22626.00787988802,6.196726211349961,100349.1006409648,29349.664072329095,436343.7464100374,166663.7901484306,1,1,0,1,1139.5161463952809,43430,BENIGN
88263,17,4614,902,88,212,39629.23989777543,15.516450687730575,95852.62088732256,28404.44108730148,247648.3703910197,67875.14275989722,0,1,0,1,421.882708238385,37144,BENIGN
68172,14,666,426,74,816,9062.476067482414,96.82897510650521,395723.90862886386,62565.84671287186,315155.41062409786,455614.0252061718,0,0,0,3,340.61300829149457,5509,BENIGN
74530,15,902,164,29,1237,23658.62553723872,72.18269829668155,405125.93790162256,15296.428660583093,107949.55321470326,304110.4746266872,1,0,0,1,241.97176200251457,44688,BENIGN
99142,10,832,1151,76,967,28500.633934663118,16.480987640797387,425503.18807252054,5136.65886245391,482611.1236640862,68565.23259314183,1,0,0,1,996.8004789380852,65449,BENIGN
432,3060,59,56,4,11,9766079.950273268,377093.09491007583,75.73925499182002,3.5722501619840754,59.6332750664422,1.276905173114432,0,4015,782,0,15.36155432594658,38,DDoS
335,6527,76,92,5,3,3688249.6937379395,570928.3275358117,41.43754567225987,16.965485874666665,72.41720203179453,8.857723912469462,0,1064,1042,1,46.2012740896459,82,DDoS
98720,10,3166,1419,76,745,28894.38891330225,89.03457561515573,187711.37570219845,77066.17632058327,172024.27965451486,184068.9815347118,1,1,0,3,1418.500018513394,49229,BENIGN
91327,14,2647,406,91,920,14610.51801667019,24.85500656584677,475270.45947162376,59659.67777267899,456699.88783903816,382936.8151878564,0,0,0,4,898.8265126382993,22199,BENIGN
116,2193,32,41,4,23,1616372.2632473134,581716.209730281,64.66324119769064,8.16607045700061,56.37248288601012,1.0148786265499965,0,2374,1496,1,42.53166176051888,89,DDoS
429,2478,85,19,9,41,4536841.693237302,132979.4598425222,59.81314327823229,30.763325215651452,6.267215983912248,3.9444548229478182,0,4764,1450,1,42.30335761769105,69,DDoS
76993,15,1069,358,87,1400,17754.76124913438,13.730094480196065,370491.8608214204,55843.4322578559,275039.09306639817,367294.4950607699,0,1,0,0,867.7949741314264,49112,BENIGN
8805,14,2478,279,68,565,8342.132675970544,40.44236053423919,187961.77203114913,46265.28077790506,111310.81378750713,210108.47024395553,0,0,0,3,131.52348649845328,43769,BENIGN
62476,15,1330,1141,82,734,21316.95024032555,77.08894206853044,392835.7688214928,18056.71544369203,394197.16343672364,199883.1305092192,0,0,0,3,1097.401625758926,10112,BENIGN
23399,3,4108,1243,50,495,14191.615794280768,64.85810212064307,26944.72227423885,61136.26731490853,163498.5947666627,141520.2708024216,0,1,0,0,184.21123723652533,50245,BENIGN
47828,16,3612,166,65,948,26105.33038470401,78.64429140230641,174291.3402032587,45169.48970706466,253778.0867165474,148156.72329511633,1,0,0,1,653.2597106930116,52454,BENIGN
60720,8,405,1452,88,652,6822.550210024114,61.7855172794469,412483.253908594,10066.73554995179,484381.0738250821,8714.926577600414,0,1,0,4,953.9870203410776,40323,BENIGN
368,1365,38,78,6,27,732748.3599552534,120679.77430225367,71.47460033178785,45.32676836420803,39.49342273680408,6.531103382522919,0,3017,1457,1,20.337416459997765,66,DDoS
10903,18,1003,1064,52,737,35626.45410447096,49.6997255554853,34531.35195325385,94852.43466359407,136423.9511993938,478483.0928264413,1,0,0,2,1145.7465003507277,27226,BENIGN
292,7463,85,98,6,20,9927076.896879235,521711.86723394087,51.40682153832629,5.8115876441776555,51.39241485326016,9.522739160313781,0,2818,1588,1,32.78222074958624,19,DDoS
63003,3,376,913,25,1209,11497.607182215186,96.46943905288957,467095.85022215854,66999.15004712438,270814.26750318223,417776.87796530366,1,1,0,2,723.2089939569671,43690,BENIGN
153,3474,44,6,0,32,1892017.939959402,907843.1360914614,83.07159970629856,49.27871742402315,56.75818170707709,8.661624909794813,0,4826,1890,0,41.387437973423346,55,DDoS
50,5354,27,29,9,6,7681804.990120658,298567.6067313138,6.050209038334561,31.422198133485356,29.85803596856539,0.986180196557529,0,2940,339,0,31.791943447425247,94,DDoS
421,7976,23,67,5,36,2289082.303196504,681883.4981113119,97.00387214645549,35.629611301202914,76.79001638308485,0.6448511473780028,0,1069,402,0,13.750209436383109,69,DDoS
11395,7,344,1310,29,1116,30473.342608114697,64.12501705968015,449464.3306916543,1087.3404487685975,82619.30792080729,106335.1433594111,0,1,0,3,1299.5556591753239,26425,BENIGN
259,4479,71,71,0,4,1450183.4190780965,224704.95827155656,91.19880464405709,10.8252031876688,18.473348235131564,6.295551419400383,0,2064,160,1,37.88306473689727,44,DDoS
98416,9,1015,472,63,355,9227.907521223515,57.225716160202296,86991.6232680218,94517.24113584487,68514.51911890462,4405.680372693076,0,0,0,4,441.58180981014465,16479,BENIGN
